hindi,complaint,category
"मौड़- रामपुरा रोड पर दर्दनाक हादसे में कार चालक समेत 3 लोगों की मौके पर ही मौत हो गई, जबकि कार में सवार एक महिला गंभीर रूप से घायल हो गई।","In a painful accident on Maud-Rampura road, 3 people including the car driver died on the spot, while a woman in the car was seriously injured.",
"महेंद्रगढ़ के कनीना में बाइक की आमने-सामने की टक्कर हो गई। मनजीत निवासी
नाहड़ जो अपनी बाईक से अपनी बहन को लेकर उसकी ससुराल नारनौल के पास
छोड़ने जा रहा था। रास्ते में चेलावास गांव के पास आगे से आ रही बाइक ने उन्हें टक्कर
मार दी।जिसमें मनजीत व उसकी बहन की हत्या हो गयी","There was a face-to-face collision of bikes in Kanina of Mahendragarh. manjeet resident
Nahar who took his sister on his bike to her in-laws place near Narnaul
was going to leave On the way near Chelavas village, the bike coming from ahead hit them
Killed. In which Manjit and his sister were killed.",
"शख्स ने पत्नी से अवैध संबंध के शक के आधार पर दूसरे व्यक्ति का गला रेत दिया
और फिर मुंह लगाकर उसके गले से निकल रहा खून पी गया. इतना ही नहीं इस पूरी
वारदात को उसके दूसरे साथ ने रिकॉर्ड किया.","Man slit another man's throat on the basis of suspicion of illicit relationship with his wife
And then drank the blood coming out of his throat by touching his mouth. not only this whole
His other companion recorded the incident.",
रिद्वार से कावड़ ला रहे कावड़ियों के एक दल के सदस्य को गांव माहोली के पास तेज रफ्तार टेंपो ने टक्कर मारी दी। जिससे एक कावड़ लाने वाले दोजी राम पुत्र गंगाराम निवासी चौमा थाना (रामगढ़) गंभीर रूप से घायल हो गया। साथ मे कावड़ ला रही दोजी राम की पत्नी सरोज अपने पति की हालत को देखकर बेहोश हो गई। सरोज फिरोजपुर झिरका के सरकारी अस्पताल में इलाज के लिए ले जाया गया। वही दोजी राम को को भी इलाज के लिए स्थानीय अस्पताल भर्ती कराया गया। जहां डॉक्टर ने उसकी गम्भीर हालत को देखते हुए उसे रेफर कर दिया गया।,"A member of a team of Kavadis, who were bringing Kavad from Ridwar, was hit by a speeding tempo near village Maholi. Due to which Doji Ram's son Gangaram, resident of Chauma police station (Ramgarh), who brought a Kavad, was seriously injured. Doji Ram's wife Saroj, who was bringing Kavad with her, fainted after seeing her husband's condition. Saroj was taken to the government hospital in Ferozepur Jhirka for treatment. The same Doji Ram was also admitted to the local hospital for treatment. Where the doctor referred him seeing his serious condition.",
"मामला गुड़गांव का है, जहां छह साल की एक बच्ची के साथ तीन लोगों ने दुष्कर्म
किया।","The case is of Gurgaon, where a six-year-old girl was raped by three people.
Did.",
"सातरोड रोड के नजदीक किराये के मकान में लीव इन रिलेशनशिप में रहने वाली
महिला के साथ सिवानी के दिनेश नाम व्यक्ति ने दुष्कर्म किया. महिला ने कहा कि
दिनेश उससे बैंक लोन की किश्त लेने के लिए आता था. उस दौरान उसकी जान पहचान
हुई. बाद में वह एक होटल में गया और दुष्कर्म किया. बाद में उसने शादी का झांसा
देकर उसका तलाक भी करवा दिया. अब वह उसके साथ किराये के मकान में रहता है,
लेकिन अंतिम बार वह 24 जनवरी को आया था और दुष्कर्म किया. महिला ने आरोप
लगाया कि वह उसको जान से मारने की धमकी भी दे रहा है.","Living in a live-in relationship in a rented house near Satrod Road
A person named Dinesh of Siwani raped the woman. the woman said
Dinesh used to come to collect the installment of the bank loan from him. his identity during
Hui. Later he went to a hotel and raped her. later he pretended to marry
Gave him a divorce as well. Now he lives with her in a rented house,
But the last time he came on January 24 and raped her. woman alleges
Felt that he was also threatening to kill her.",
"हरियाणा के भिवानी में एक नाबालिग लड़की से गैंग रेप का मामला सामने आया है।
वहीं यूपी के गोंडा में एक दलित के साथ गैंग रेप हुआ है।","A case of gang rape of a minor girl has come to light in Bhiwani, Haryana.
On the other hand, a Dalit has been gang-raped in Gonda, UP.",
"यमुनानगर में एक गोल्ड लोन कंपनी में करोड़ों रुपयों की लूट, 23 किलो सोना और
10 लाख नकद ले गए लुटेरे","Crores of rupees looted in a gold loan company in Yamunanagar, 23 kg gold and
Robbers took away 10 lakh cash",
पलवल में ट्रक की टक्कर में एक कावड़िया घायल । गत रात्रि रसूलपुर चौक पलवल पर कावड़िये घुवीर पुत्र मोरिया उम्र 65 वर्ष वासी करौली राजस्थान को ट्रक ने टक्कर मार दी। जिसे सामान्य अस्पताल पलवल में दाखिल करवाया गया है। जिसकी हालत खतरे से बाहर है। उपरोक्त कावडिये की कावड़ खण्डित होने के कारण प्रशासन द्वारा दूसरी कावड़ लाने के लिए गाडी का बन्दोबस्त किया गया है।,"A Kavadia injured in a truck collision in Palwal. Last night at Rasulpur Chowk Palwal, Kavadiye Ghuveer's son Moriya, age 65, resident of Karauli, Rajasthan was hit by a truck. Who has been admitted to General Hospital Palwal. Whose condition is out of danger. Due to the broken Kavad of the above Kavadiya, the administration has arranged a vehicle to bring another Kavad.",
"हिसार में बेखौफ अपराधियों ने रिटायर्ड टीचर को दो गोली मारी, जिससे उसकी
मौके पर ही मौत हो गई","Fearless criminals shot twice at a retired teacher in Hisar, killing him.
died on the spot",
"करौली जिले के हिंडौन में युवती के साथ सामुहिक दुष्कर्म व हत्या 18 वर्षीय बेटी के
साथ गैंगरेप के बाद तेजाब से जला कर तथा गोली मारकर लाश को कुएं में डालने का
जघन्य अपराध व हृदय विदारक घटना हुई है.","18-year-old daughter gang-raped and murdered in Hindaun of Karauli district
After gang-rape and burning with acid and shooting the dead body in the well
A heinous crime and a heart-wrenching incident has taken place.",
"मोगी नन्द में अपराधियों ने एक टेंट दुकानदार को उसके ही घर में गोली मारकर
हत्या कर दी. मृतक की पहचान विजय महतो के 25 वर्षीय पुत्र अजीत कुमार के रूप में
की गई है.","In Mogi Nand, criminals shot a tent shopkeeper in his own house.
murdered. The deceased has been identified as Ajit Kumar, 25, son of Vijay Mahato.
Has been done.",
"फतेहाबाद जिले के एक गांव में पिता ने नशे की हालत में दो बेटों का सिर
कलम किया.","In a village of Fatehabad district, the father beheaded two sons in a state of intoxication.
pen did.",
"जींद जिले में पानीपत रोड पर तेज रफ्तार कार ने बाइक को टक्कर मार दी, जिसमें बाइक सवार 21 वर्षीय युवक की मौत हो गई।","A speeding car hit a bike on Panipat Road in Jind district, killing a 21-year-old bike rider.",
"बीवी के जरिये पड़ोस की लड़की को बुलाया घर और उसके साथ दुष्कर्म
किया.आरोपी ने लड़की को इतना डरा कर रखा था कि उसने अपने साथ हो रहे दुराचार
की शिकायत अपने परिजनों से नहीं की.","Neighbor's girl was called home through wife and raped her
did. The accused had kept the girl so scared that she
Did not complain to his relatives.",
"डकैती का एक मामला घर में 600 करोड़ रुपये का धन गड़ा है. लेकिन बदमाश वहां
से केवल एक मोबाइल ही लूट पाए. और तो और वारदात के तीन दिन बाद सभी पकड़े
भी गए.","In a case of dacoity, money worth Rs 600 crore has been buried in the house. but the crooks there
Only one mobile could be looted from. Moreover, all were caught three days after the incident.
also went.",
रेवाड़ी में एक स्कूल के छात्र की मौत इस मासूम की मौत की वजह उसके स्कूल के चेयरमैन सह संचालक व अन्य शिक्षक बने हैं. दरअसल मासूम मृतक के स्कूल के चेयरमैन सह संचालक व अन्य शिक्षक ने उसको इतना पीटा की बच्ची की जान चली गई.,"Death of a school student in Rewari The reason for the death of this innocent child is the chairman co-director and other teachers of his school. In fact, the chairman-cum-director and other teacher of the innocent deceased's school beat him so much that the girl lost her life.",
हरियाणा के गुरुग्राम में गुरुवार सुबह दर्दनाक हादसा हुआ। पिता के साथ स्कूल जा रही बच्ची की सड़क हादसे में मौत हो गई। स्कूटी से जाते वक्त तेज रफ्तार कार सवार ने टक्कर मार दी।,"A painful accident took place on Thursday morning in Gurugram, Haryana. The girl going to school with her father died in a road accident. While going by scooty, a speeding car rider hit him.",
अकित आयु करीब 19 साल रवि आयु 19 साल वासी गांव कुराड (पानीपत) सुबहू करीब 5.00 बजे गांव कुराड़ से सुनौली की ओर जाने वाले रोड़ पर दौड़ लगा रहे थे। जिनको किसी अज्ञात वाहन ने टक्कर मार दी। दोनो को राहगीरो ने हस्पताल पहुंचाया। जहां पर दोनो को डाक्टर ने मृत घोषित कर दिया ।,Akit aged about 19 years Ravi aged 19 years resident of village Kurad (Panipat) was running on the road leading from village Kurad towards Sunauli at around 5.00 am. Who was hit by an unknown vehicle. Passengers took both of them to the hospital. Where both were declared dead by the doctor.,
"कैश वैन लेकर एक ड्राइवर भाग गया. इस वैन में रखे डेढ़ करोड़ रुपए भी गायब पाए
गए हैं","A driver ran away with the cash van. One and a half crore rupees kept in this van were also found missing.
went",
"बहादुरगढ़ में स्कार्पियो सवार लुटेरों ने एक्सिस बैंक की कैश वैन लूटने के लिए
अंधाधुंध फायरिंग की। इस गोलीबारी में तीन लोग गंभीर घायल हो गए। चालक ने थाने
में कैश वैन घुसाकर उसे लुटने से बचाया।","Scorpio riding robbers to rob Axis Bank's cash van in Bahadurgarh
Firing indiscriminately. Three people were seriously injured in this firing. the driver to the police station
I saved him from being robbed by ramming a cash van.",
"हरियाणा में दलित लड़की के साथ रेप .पुलिस ने एक आरोपी को गिरफ्तार कर
लिया है, जिसने बताया कि गैंगरेप में 11 और व्यक्ति शामिल थे।","Rape with a Dalit girl in Haryana. Police arrested one of the accused
Liya, who stated that 11 more persons were involved in the gangrape.",
रिद्वार से कावड़ ला रहे कावड़ियों के एक दल के सदस्य को गांव माहोली के पास तेज रफ्तार टेंपो ने टक्कर मारी दी। जिससे एक कावड़ लाने वाले दोजी राम पुत्र गंगाराम निवासी चौमा थाना (रामगढ़) गंभीर रूप से घायल हो गया। साथ मे कावड़ ला रही दोजी राम की पत्नी सरोज अपने पति की हालत को देखकर बेहोश हो गई। सरोज फिरोजपुर झिरका के सरकारी अस्पताल में इलाज के लिए ले जाया गया। वही दोजी राम को को भी इलाज के लिए स्थानीय अस्पताल भर्ती कराया गया। जहां डॉक्टर ने उसकी गम्भीर हालत को देखते हुए उसे रेफर कर दिया गया।,"A member of a team of Kavadis, who were bringing Kavad from Ridwar, was hit by a speeding tempo near village Maholi. Due to which Doji Ram's son Gangaram, resident of Chauma police station (Ramgarh), who brought a Kavad, was seriously injured. Doji Ram's wife Saroj, who was bringing Kavad with her, fainted after seeing her husband's condition. Saroj was taken to the government hospital in Ferozepur Jhirka for treatment. The same Doji Ram was also admitted to the local hospital for treatment. Where the doctor referred him seeing his serious condition.",
"पलवल मे शुक्रवार रात एक्सप्रेस में लूटपाट करने वाले बदमाश यात्रियों ने सोने-
चांदी और नकदी के साथ ही एक यात्री की मां का अस्थि कलश भी लूटकर अपने साथ
ले गए।","The miscreants who looted the express in Palwal on Friday night looted the gold-
Along with silver and cash, the urn of a passenger's mother was also looted and taken with them.
took away.",
विष्णु जो डीघल चौकी (झज्जर ) में होमगार्ड के पद पर तैनात था। ड्यूटी समाप्त करके मोटरसाईकल पर अपने घर जा रहा था। सुनारिया गांव के पास इसकी मोटरसाइकिल के आगे एक लावारिस पशु आने के कारण एक्सीडेंट हो गया। जिसको पीजीआई रोहतक ले जाया गया। जहां पर डाक्टर ने इसे मृत घोषित कर दिया।,"Vishnu who was posted as Home Guard at Dighal Chowki (Jhajjar). After finishing his duty, he was going to his home on a motorcycle. An accident occurred due to an abandoned animal coming in front of his motorcycle near Sunaria village. Who was taken to PGI Rohtak. Where the doctor declared it dead.",
झज्जर गुरुग्राम मार्ग पर ट्रक व स्कार्पियो की आपस में टक्कर होने से स्कार्पियों में सवार 3 तीनो युवको की मौत हो गई।,"Due to the collision of truck and Scorpio on the Jhajjar-Gurugram road, all the three youths riding in the Scorpios were killed.",
पंचकुला में अवैध संबंध का विरोध करना एक महिला को भारी पड़ गया. इस मामले में सनकी पति ने धारदार हथियार से अपनी पत्नी की हत्या कर दी.,"Opposing an illegal relationship in Panchkula proved to be a burden for a woman. In this case, the eccentric husband killed his wife with a sharp weapon.",
"कुरुक्षेत्र में भीषण सड़क हादसा होने की खबर सामने आई है। बताया जा रहा है कि 2 कारों की हुई भीषण टक्कर के दौरान 1 महिला की मौत हो गई है, जबकि अन्य 5 लोग घायल हुए हैं।","The news of a horrific road accident has come to the fore in Kurukshetra. It is being told that during the fierce collision of 2 cars, 1 woman has died, while 5 other people have been injured.",
"जींद के निवासी परमानंद यादव के पुत्र श्रवन कुमार यादव का हिन्दू रिति रिवाज के
साथ आठ वर्ष पूर्व भरगामा थाना क्षेत्र के मिरदौल निवासी के पुत्री से हुआ था लेकिन
शादी के बाद से ही पति हमेशा अपनी पत्नी की पिटाई करता था.घर के अंदर ही पति ने
धारदार हथियार से पत्नी का गला रेत दिया जिससे महिला की मौत हो गयीघटना के
बाद से आरोपी पति घर छोड़कर फरार हो गया है.","Shravan Kumar Yadav, son of Parmanand Yadav, a resident of Jind, was married according to Hindu customs.
Had a relationship with the daughter of Mirdaul resident of Bhargama police station area eight years ago, but
The husband always used to beat his wife after marriage. The husband inside the house
Wife's throat was slit with a sharp weapon, due to which the woman died.
Since then the accused husband has fled away from home.",
हरियाणा में गुरुग्राम के पास बादशाहपुर इलाके में दो बच्चियों के साथ बलात्कार करने के आरोप में 25 वर्षीय युवक को गिरफ्तार किया गया है.,A 25-year-old man has been arrested for raping two girls in Badshahpur area near Gurugram in Haryana.,
"पुलिस और बदमाशों के बीच मुठभेड़ इसमें सतना में लूट और हत्या करने वाला
बदमाश आनंद यादव ढ़ेर हो गया.आनंद यादव बीते 6 मार्च को शराब कंपनी के मुनीम
की हत्या में शामिल था. उसके सिर पर हत्या और लूट जैसे कई संगीन मामले दर्ज थे.","Encounter between police and miscreants in this robbery and murder in Satna
The scumbag Anand Yadav was killed. Anand Yadav was the accountant of the liquor company on March 6.
was involved in the murder. Many serious cases like murder and robbery were registered on his head.",
"आरोप है कि मकान मालिक ने युवती को कोल्ड ड्रिंक में कोई नशीला पदार्थ
मिलाकर उसे पिला दी, जिससे वह बेहोश हो गई. इसी हालत में उसने युवती से रेप
किया.","It is alleged that the landlord gave the girl some intoxicant in the cold drink.
Mixing and gave her drink, due to which she fainted. In this condition he raped the girl
Did.",
"समस्तीपुर में एक लड़की को कोचिंग से वापस लौटते समय सिर्फ इसलिए गोली मार
दी गई क्योंकि उसने उस हत्यारे से बात करने से मना कर दिया.इस बात से गुस्साए उस
शख्स ने उस युवती को गोली मार दी जिसमें उसकी मौत हो गई.","In Samastipur a girl was shot just because she was returning from coaching
given because he refused to talk to the killer. Enraged by this
The man shot the girl in which she died.",
गत रात्रि गांव राहड़ा (करनाल) के पास कावड़ियों से भरी एक पिकअप को ट्रक ने टक्कर मारी। एक कावड़िये की मौत तथा 14 / 15 घायल ,A truck rammed into a pickup full of kavadis near village Rahra (Karnal) last night. One Kavadiya killed and 14/15 injured,
"हरियाणा में गुरुग्राम के सेक्टर 10ए इलाके में एक घरेलू सहायिका ने एक महिला
और उसकी 2 बेटियों को बेहोश कर बंधक बनाकर अपने 4 साथियों की मदद से उनके
घर में लूटपाट की।","A woman was raped by a domestic help in Sector 10A area of ​​Gurugram in Haryana.
And with the help of his 4 accomplices, by keeping his 2 daughters hostage by sedating them
Robbed the house.",
रेवाड़ी में दिल्ली-जयपुर हाइवे पर असाही पुल पर बड़ा दर्दनाक हादसा हो गया जहां ट्रक चालक द्वारा अचानक ब्रेक लगाने से पीछे चल रहा ट्रॉला उसमें जा घुसा : और चालक शीशे से बाहर निकलकर टायर के नीचे आ गया। चालक की मौके पर ही मौत हो गई। पुलिस ने मामला दर्ज कर जांच शुरू कर दी है।,A major accident took place at the Asahi bridge on the Delhi-Jaipur highway in Rewari where the truck driver rammed into the trailing trolley following sudden application of brakes and the driver came out of the windshield and came under the tyre. The driver died on the spot. Police has registered the case and started investigation.,
"भिवानी में मोहम्मद जैद ने कथित रूप से दो भाइयों से कहासुनी के बाद राहुल को
चाकू मार दिया और इस झड़प में सोनू भी घायल हो गया.","In Bhiwani, Mohammad Zaid allegedly told Rahul after listening to two brothers.
He was stabbed and Sonu was also injured in this clash.",
"सोनीपत के एक गांव में नाबालिग लड़की के साथ चार दरिंदों ने घर में घुसकर ही
गैंगरेप की वारदात को अंजाम दे डाला.","In a village of Sonipat, four miscreants along with a minor girl barged into the house.
Executed the incident of gangrape.",
"महिला ने बताया, ''उसकी शादी 30 जुलाई 2018 को पुंडरी निवासी सन्नी से हुई थी लेकिन शादी के कुछ समय बाद ही ससुराल वाले दहेज की मांग करने लगे. मांग पूरी नहीं होने पर अक्सर उसके साथ मारपीट की जाती थी. आखिरकार ससुराल वालों ने मारपीट कर उसे घर से निकाल दिया और वापस लौटने पर बुरा अंजाम भुगतने की धमकी दी.'' पत्नी ने पति पर लगाया दुष्कर्म का आरोप.","The woman said, ""She was married to Sunny, a resident of Pundri, on July 30, 2018, but shortly after the marriage, her in-laws started demanding dowry. When the demand was not met, he was often beaten up. Eventually, the in-laws beat her up and threw her out of the house and threatened her of dire consequences if she returned. The wife accused her husband of rape.",
अंकित वासी गुभाना ( झज्जर ) की बागपत (यूपी) में सड़क दुर्घटना में मौत । कांवड़ लेकर घर आते समय अंकित की रास्ते में तबीयत खराब होने पर इसने गांव से अपने दो दोस्तों को बुला लिया और एक दोस्त को कावड़ देकर यह खुद दूसरे दोस्त के साथ मोटरसाईकिल पर बैठकर घर जा रहा था । गौरीपुल उत्तर प्रदेश के पास इनकी मोटरसाईकिल का एक टैम्पू के साथ एक्सीडेंट हो गया। जिसमें अमन की मौत हो गई।,"Ankit Vasi Gubhana (Jhajjar) died in a road accident in Baghpat (UP). While coming home with Kavad, when Ankit's health deteriorated on the way, he called two of his friends from the village and by giving Kavad to one friend, he himself was going home sitting on a motorcycle with another friend. His motorcycle had an accident with a tempo near Gauripul, Uttar Pradesh. In which Aman died.",
सोनपुर में आधी रात को पिस्तौल के दम पर लूटपाट,Looting on the basis of pistol at midnight in Sonpur,
"पानीपत जिले के गांव पूठर में फोन की दुकान में चोरों ने चोरी की वारदात को
अंजाम दिया।","Thieves committed theft in phone shop in village Puthar of Panipat district
carry through.",
"हिसार में कुछ दिन पहले बैंक में पैसा जमा कराने जा रहे एक सर्राफा व्यापारी से 1
करोड़ 5 लाख रुपये की नकदी की लूट के मामले में पुलिस ने 7 लुटेरों को गिरफ्तार
कर लिया है।","A few days ago in Hisar, a bullion merchant who was going to deposit money in the bank 1
Police arrested 7 robbers in case of cash robbery of Rs 5 lakh crore
Have done.",
"जांच में पता चला कि पंकज और जतिन नाम के दो दोस्त एक बर्थडे पार्टी से देर
रात 2 बजे लौट रहे थे, तभी एक गली में कुछ लड़कों ने उन्हें रोका और सब कुछ
देने को कहा, पीड़ितों ने जब कहा पैसे क्यो दें तो लड़को ने इन दोनों को बुरी तरह
पीटा।","Investigation revealed that two friends named Pankaj and Jatin were late from a birthday party.
were returning at 2 in the night, then some boys stopped them in a street and everything
Asked to give, when the victims asked why to give the money, the boys beat them both badly.
Beaten.",
हरियाणा के रेवाड़ी में 10 साल की मासूम के साथ 7 आरोपियों ने गैंगरेपकिया और उसका वीडियो बनाकर वायरल कर दिया. आरोपियों में से 6 नाबालिग हैं और एक बालिग 7 आरोपियों में से पांच आरोपी पीड़ित बच्ची के रिश्तेदार हैं. करीब एक सप्ताह पहले आरोपियों ने बंद पड़ी स्कूल की बिल्डिंग में 10 साल की मासूम बच्ची के साथ गैंगरेप किया. वीडियो वायरल होने के बाद घटना का खुलासा हुआ.,"Seven accused gang-raped a 10-year-old girl in Haryana's Rewari and made her video viral. Six of the accused are minors and one is an adult. Out of the seven accused, five are relatives of the girl child. About a week ago, the accused gang-raped a 10-year-old girl in a closed school building. The incident came to light after the video went viral.",
"विवाहित महिला को शादी का झांसा देकर बंधक बनाने और कथित रूप से दुष्कर्म
करने पर महिला थाना पुलिस ने एक व्यक्ति के खिलाफ मामला दर्ज किया है।","Married woman held hostage and allegedly raped on the pretext of marriage
On doing this, the women's police station has registered a case against a person.",
रोहतक - दिल्ली रोड पर सांपला बाईपास पर दो ट्रकों की आमने सामने टककर हो गई। जिसमें 2 व्यक्तियों की मौका पर ही मौत हो गई तथा 2 व्यक्ति घायल हो गए। घायलों को पीजीआई रोहतक में दाखिल करवाया गया।,Two trucks collided head-on at Sampla bypass on Rohtak-Delhi road. In which 2 persons died on the spot and 2 persons were injured. The injured were admitted to PGI Rohtak.,
"नकदी, जेवर, सामान, वाहन चोरी की बातें तो सभी ने सुनी होंगी, लेकिन महम क्षेत्र
में करीब पांच दिन पहले तीन सड़कें ही चोरी हो गईं। इस अजीबो-गरीब चोरी को लेकर
हरियाणा कृषि विपणन बोर्ड के कार्यकारी अभियंता ने पुलिस को शिकायत दी है।
उन्होंने पुलिस से चोर को जल्द पकड़ने की अपील की है।","Everyone must have heard about the theft of cash, jewelry, goods, vehicles, but the Maham area
About five days back only three roads were stolen. about this strange heist
The executive engineer of the Haryana Agricultural Marketing Board has given a complaint to the police.
He has appealed to the police to nab the thief soon.",
इंद्री के गांव शेरगढ़ के पास युवक ट्रैक्टर ट्राली की चपेट में आ गया जिसकी मौके पर ही मौत हो गई। घटना की सूचना मिलते ही पुलिस मौके पर पहुंची और शव को कब्जे में लेकर कार्रवाई शुरू कर दी है।,"A young man came under the grip of a tractor-trolley near Shergarh village of Indri, who died on the spot. As soon as the information of the incident was received, the police reached the spot and started action by taking possession of the dead body.",
"हरियाणा में सोनीपत जिले के एक गांव में एक व्यक्ति ने कथित तौर पर गोली मार
कर दो लोगों की हत्या कर दी. यह विवाद खेतों में पानी वितरण को लेकर शुरू हुआ था
जिसमें पिता-पुत्र की हत्या हो गई.","A man allegedly shot at a village in Sonipat district in Haryana.
Killed two people. The dispute started over the distribution of water in the fields.
In which father and son were killed.",
 शुक्रवार को महिला ने पुलिस ऑफिसर रैंक के एक अधिकारी पर रेप का आरोप लगाया.,"On Friday, the woman accused an officer of the rank of police officer of rape.",
"हरियाणा के पलवल में डिलीवरी के दौरान एक अधिक खून बहने से गर्भवती महिला की मौत हो गई। परिजनों का आरोप है कि डॉक्टरों की लापरवाही ये यह हुआ है। डॉक्टरों ने कई बार महिला के पेट को खोला बंद किया, इससे रक्त बह गया और जान चली गई।","A pregnant woman died due to excessive bleeding during delivery in Palwal, Haryana. The family alleges that this has happened due to the negligence of the doctors. Doctors opened and closed the woman's stomach many times, it caused blood to flow and she lost her life.",
"रेवाड़ी: दो दिन पहले सेक्टर-4 स्थित एक कंपनी के CEO के घर से दिनदहाड़े 6.70
लाख रुपये लूट का पुलिस ने खुलासा किया है। जांच में सामने आया कि घर में लूट
नहीं बल्कि कंपनी के सीईओ की बेटी ने अपने बॉयफ्रेंड को यह रुपये दिए थे और फिर
यह सारा ड्रामा रचा। साजिश में खुद सीईओ की बेटी शामिल थी और कथित
नकाबपोश बदमाश कोई और नहीं उसका बॉयफ्रेंड था।","Rewari: 6.70 in broad daylight from the CEO's house of a company located in Sector-4 two days back.
Police has disclosed the loot of lakhs of rupees. Investigation revealed that the house was robbed
No, but the daughter of the CEO of the company had given this money to her boyfriend and then
This whole drama was created. The CEO's daughter herself was involved in the conspiracy and the alleged
The masked goon was none other than her boyfriend.",
पलवल स्थित एक रेस्टोरेंट में एक युवक ने खुद को गोली मारकर आत्महत्या कर लिया.,A young man committed suicide by shooting himself in a restaurant in Palwal.,
"गुरुग्राम के सेक्टर-109 एरिया की सोसायटी में। इन महिलाओं ने मकान से लाखों
रुपये का सामान व कैश चोरी कर लिया गया। हैरानी की बात है कि 50 मिनट के अंदर
ये दोनों महिलाएं घर से स्मारक सिक्के, पुराने भारतीय और विदेशी सिक्के, चांदी का
सजावट का सामान, विदेशी मुद्रा के संग्रह, महंगे पैन का संग्रह व 7 लाख रुपये कैश
चोरी कर ले गईं।","In the society of Sector-109 area of ​​Gurugram. These women took lakhs from the house
Goods and cash worth Rs were stolen. Surprisingly, within 50 minutes
These two women collect commemorative coins, old Indian and foreign coins, silver coins from home.
Decoration items, collection of foreign currency, collection of expensive pans and Rs 7 lakh cash
Stolen and taken away",
हरियाणा में जींद शहर थाना के अंतर्गत आने वाले इलाके से एक किशोरी को घर से अपहरण कर उसके साथ कथित दुष्कर्म करने का मामला सामने आया है.,"In Haryana, a case of alleged rape of a teenage girl by abducting her from the house has come to light from the area under Jind city police station.",
"कुरुक्षेत्र में एक ट्रक की ट्रैक्टर ट्राली से भीषण टक्कर हो गई, जिसमें चार लोगों की मौके पर ही मौत हो गई. जबकि कम से कम आठ लोग घायल हो गए. शनिवार की रात गांव हबाना में धार्मिक कार्यक्रम में शामिल होने जा रहे ट्रैक्टर ट्रॉली में 25 लोग सवार थे, तभी पीछे से आ रहे ट्रक ने ट्रैक्टर ट्राली को टक्कर मार दी.","In Kurukshetra, a truck collided with a tractor-trolley, in which four people died on the spot. While at least eight people were injured. On Saturday night, 25 people were traveling in a tractor trolley going to participate in a religious program in village Habana, when a truck coming from behind hit the tractor trolley.",
"गुड़गांव में रेप का एक मामला आया है. सरकारी बैंक के एक नेत्रहीन ट्रेनी अधिकारी
को ऐसी महिला के साथ रेप का दोषी है जो खुद भी देख नहीं पाती है.","A case of rape has come up in Gurgaon. A blind trainee officer of a public sector bank
is guilty of raping a woman who herself cannot see.",
"हरियाणा की फरीदाबाद जिला पुलिस ने एक महिला और सात माह की बच्ची के
साथ कथित बलात्कार के सिलसिले में दो लोगों के खिलाफ मामला दर्ज कर जांच शुरू
कर दी है।","Haryana's Faridabad district police arrested a woman and a seven-month-old girl.
Investigation started by registering a case against two people in connection with the alleged rape
Done.",
"अविनाश पवार ने डकैती के दौरान एक दंपति की हत्या कर दी थी, वह 30 साल तक
नाम और पता बदलकर पुलिस से बचता रहा","Avinash Pawar killed a couple during a robbery, he was imprisoned for 30 years
evading police by changing name and address",
अम्बाला में शुक्रवार से लापता डेढ़ वर्षीय बालक का शव शनिवार को घर से करीब 100 मीटर की दूरी पर झाड़ी में मिला. मामला मीरपुर वार्ड संख्या 17 का है.,The dead body of a one and a half year old boy missing since Friday in Ambala was found in a bush about 100 meters away from the house on Saturday. The matter is of Mirpur ward number 17.,
हरियाणा के करनाल शहर में एक बैंक डाकैती की घटना घटी। चोरों ने बैंक में घुसकर नकदी को लूट लिया है।,A bank robbery incident took place in Karnal city of Haryana. Thieves have entered the bank and looted the cash.,
एन.एच. 152डी पर गांव बचीनी (महेन्द्रगढ़) फ्लाईओवर के पास एक स्विफ्ट कार को किसी अज्ञात वाहन ने टक्कर मार दी। कार में 6 व्यक्ति सवार थे। जिनको नागरिक अस्पताल महेन्द्रगढ़ ले जाया गया। जहां पर डाक्टरों ने 4 लोगों को मृत घोषित कर दिया और दो को प्राथमिक उपचार के बाद रेवाड़ी के लिए रैफर कर दिया ।,NH An unknown vehicle hit a Swift car near village Bachini (Mahendergarh) flyover on 152D. There were 6 persons in the car. Those who were taken to Civil Hospital Mahendergarh. Where doctors declared 4 people dead and referred two to Rewari after first aid.,
